Vidnum,Vidtitle,VidLength,VidKwh,vidLightDur
1,CargoBasics-Thumbnail Index,94,0.0003133333333,17.86
2,Regular Dream,112,0.0003733333333,21.28
3,my daily item Ear Cuff,436,0.001453333333,82.84
4,What's in my bag,577,0.001923333333,109.63
5,Moving Vlog l sick & lazy,656,0.002186666667,124.64
6,amazingsaturday EP.99,183,0.00061,34.77
7,BACK IN CALIFORNIA! Spring Break Vlog,509,0.001696666667,96.71
8,[STATION] 디어 (d.ear) X 재현 'Try Again' MV,179,0.0005966666667,34.01
9,Waking up at 5 AM for a week in college ,1420,0.004733333333,269.8
10,inals week study vlog // spring 2019 // pre-med,1358,0.004526666667,258.02
11,NCT 127 Play I Dare You | Teen Vogue,603,0.00201,114.57
12,How to Create an HTML Dropdown Menu | Learn HTML and CSS | HTML Tutorial | HTML for Beginners,1223,0.004076666667,232.37
13,Coding Challenge #35.1: Traveling Salesperson,1495,0.004983333333,284.05
14,Coding Challenge #48: White House Social Media Data Visualization,994,0.003313333333,188.86
15,Teachable Machine Tutorial 3: Export,60,0.0002,11.4
16,Teachable Machine 1: Image Classification,1202,0.004006666667,228.38
17,C4D Abstract Cloth Effect - Cinema 4D Tutorial (Free Project),433,0.001443333333,82.27
18,NCT 127 Acts Out 19 Emotions | Glamour,998,0.003326666667,189.62
19,Photoshop CS6 Tutorial - Metal Chrome Text,326,0.001086666667,61.94
20,my back to school routine ,664,0.002213333333,126.16
21,I started studying for the MCAT and it's not pretty // cali vlog,571,0.001903333333,108.49
22,Maltesers Korean mukbang eating show,1406,0.004686666667,267.14
23,"Get Ready With Me 🌸 Dealing with Racism in America, My Health, etc.",961,0.003203333333,182.59
24,THE REAL COLLEGE LIFE *sad*,933,0.00311,177.27
25,400번 빡치는 커피,466,0.001553333333,88.54
26,"a weekend of a homebody ☁️🌝 cooking, movie, sleeping a lot",560,0.001866666667,106.4
27,How much $$ I spend in a week as a college student in the US 🇺🇸,861,0.00287,163.59
28,COLLEGE MOVE IN VLOG *stressful*,90,0.0003,17.1
29,Facebook's role in Brexit — and the threat to democracy | Carole Cadwalladr,916,0.003053333333,174.04
30,17.1: Loading and Playing - p5.js Sound Tutorial,1033,0.003443333333,196.27
31," ""Friends with Death"" - Luciana Rodrigues",764,0.002546666667,145.16
32,17.4: Amplitude Analysis - p5.js Sound Tutorial,439,0.001463333333,83.41
33,"17.3: Timing, Jumps and Cues - p5.js Sound Tutorial",770,0.002566666667,146.3
34,17.2: Play and Pause Button - p5.js Sound Tutorial,976,0.003253333333,185.44
35,"5.2: If, Else If, Else - Processing Tutorial",676,0.002253333333,128.44
36,"3.3: Else and Else if, AND and OR - p5.js Tutorial",1066,0.003553333333,202.54
